id,indegree,outdegree,degree,eccentricity,clustering,eigencentrality,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
CIN5,2,4,6,3,0.2333,0.288,0.6154,0.7292,6
GCR2,0,1,1,4,0,0,0.4138,0.4653,0
GLN3,1,1,2,1,0,0.5674,1,1,6
HAP4,5,0,5,0,0.25,1,0,0,0
HMO1,1,5,6,4,0.4,0.1316,0.48,0.6042,0
MGA2,1,0,1,0,0,0.4595,0,0,0
MSN2,2,6,8,3,0.1607,0.1406,0.6471,0.7576,15
RDS3,1,0,1,0,0,0.5674,0,0,0
SFP1,3,1,4,1,0.1667,0.7032,1,1,5
STB5,1,2,3,2,0.3333,0.2878,0.75,0.8333,0
SWI4,1,3,4,3,0.25,0.1564,0.6,0.7222,0
SWI5,1,0,1,0,0,0.6213,0,0,0
YHP1,3,2,5,2,0.1,0.6094,0.75,0.8333,15
YOX1,3,0,3,0,0.3333,0.4532,0,0,0
