id,indegree,outdegree,degree,clustering,eigencentrality,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
ACE2,2,0,2,0,0.126163551,0,0,0,0
CIN5,2,4,6,0.233333334,0.258202401,3,0.615384615,0.729166667,4.833333333
GCR2,0,1,1,0,0,4,0.413793103,0.465277778,0
GLN3,1,1,2,0,0.696329901,1,1,1,7
HAP4,5,0,5,0.25,1,0,0,0,0
HMO1,1,6,7,0.333333343,0.117404477,4,0.518518519,0.636904762,0
MCM1,1,5,6,0.100000001,0.117404477,3,0.642857143,0.759259259,3.833333333
MGA2,1,0,1,0,0.54100103,0,0,0,0
MSN2,2,6,8,0.160714284,0.126163551,3,0.647058824,0.757575758,13.33333333
RDS3,1,0,1,0,0.696329901,0,0,0,0
SFP1,3,1,4,0.166666672,0.62601314,1,1,1,4
STB5,1,2,3,0.333333343,0.256582383,2,0.75,0.833333333,0
SWI4,2,3,5,0.25,0.258202401,3,0.6,0.722222222,1
SWI5,2,0,2,0,0.664792762,0,0,0,0
YHP1,4,2,6,0.100000001,0.771367167,2,0.75,0.833333333,18
YOX1,4,0,4,0.333333343,0.632189261,0,0,0,0
ZAP1,0,1,1,0,0,1,1,1,0
