id,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,strongcompnum,clustering,eigencentrality
ABF1,0,5,5,0.0,-1.8483207076787949,-1.8483207076787949,3.0,0.5652173913043478,0.6666666666666666,0.0,2,0,12,0.05000000074505806,0.0
ACE2,2,0,2,1.0331538617610931,0.0,1.0331538617610931,0.0,0.0,0.0,0.0,1,0,7,0.0,0.11285937280371705
CIN5,2,1,3,-1.9131840467453003,0.1981314867734909,-1.7150525599718094,4.0,0.4,0.5208333333333333,0.0,2,0,5,0.5,0.24345796554179086
CST6,1,0,1,0.12756766378879547,0.0,0.12756766378879547,0.0,0.0,0.0,0.0,0,0,11,0.0,0.006471338949260649
GCN4,3,1,4,1.24061881005764,-2.603860378265381,-1.3632415682077408,2.0,0.6666666666666666,0.75,15.0,1,0,1,0.1666666716337204,1.0
GCR2,0,1,1,0.0,-2.0571141242980957,-2.0571141242980957,5.0,0.38095238095238093,0.47291666666666665,0.0,2,0,13,0.0,0.0
GLN3,1,2,3,-2.603860378265381,1.5592433363199234,-1.0446170419454575,1.0,1.0,1.0,8.0,1,0,1,0.0,0.637892943838993
HAP4,4,1,5,-2.8371620178222656,0.24118386209011078,-2.595978155732155,3.0,0.5,0.611111111111111,15.0,2,0,2,0.25,0.653774427605274
HMO1,2,8,10,-0.2823467254638672,5.116871401667595,4.834524676203728,3.0,0.6875,0.8030303030303029,7.5,1,0,10,0.1944444477558136,0.1282003217201561
HSF1,1,0,1,0.05138677358627319,0.0,0.05138677358627319,0.0,0.0,0.0,0.0,1,0,9,0.0,0.12172898277089543
MCM1,1,2,3,3.763099431991577,-0.765253096818924,2.997846335172653,5.0,0.375,0.5472222222222222,2.5,1,0,8,0.0,0.12172898277089543
MGA2,2,0,2,-1.3834109157323837,0.0,-1.3834109157323837,0.0,0.0,0.0,0.0,2,0,0,0.0,0.37547510880365154
MSN2,2,4,6,-1.853122740983963,-2.9556325674057007,-4.808755308389664,4.0,0.5384615384615384,0.7261904761904762,7.5,2,0,6,0.1666666716337204,0.1282003217201561
MSN4,3,0,3,2.1058255434036255,0.0,2.1058255434036255,0.0,0.0,0.0,0.0,1,0,4,0.3333333432674408,0.24992930449105144
SWI4,3,1,4,-3.3361982703208923,-3.5141100883483887,-6.850308358669281,4.0,0.4,0.5208333333333333,4.5,2,0,3,0.0833333358168602,0.23458835557461255
ZAP1,0,1,1,0.0,0.7412278652191162,0.7412278652191162,1.0,1.0,1.0,0.0,1,0,14,0.0,0.0
