id,eigencentrality,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
ACE2,0.00841951886135815,0.0,0.0,0.0,0.0
ASH1,0.5763889990742271,2.0,0.6666666666666666,0.75,6.0
CIN5,0.26127033450705095,3.0,0.6363636363636364,0.7619047619047619,5.0
GCR2,0.0,3.0,0.4583333333333333,0.49999999999999994,0.0
GLN3,0.8299310933701738,0.0,0.0,0.0,0.0
HAP4,0.9050826002413219,0.0,0.0,0.0,0.0
HMO1,0.11914512697733085,3.0,0.55,0.6515151515151515,0.0
MSN2,0.12756464583868904,2.0,0.7692307692307693,0.85,14.0
SFP1,0.6361509815484432,4.0,0.4,0.5208333333333334,9.0
STB5,0.26051209983152107,5.0,0.375,0.5472222222222222,0.0
SWI4,0.14212520752972027,2.0,0.8,0.875,0.0
SWI5,0.5596732222925248,3.0,0.5,0.611111111111111,7.0
YHP1,1.0,1.0,1.0,1.0,9.0
YOX1,0.41105682622259954,0.0,0.0,0.0,0.0
ZAP1,0.0,1.0,1.0,1.0,0.0
