SPOT	Gene Symbol	15m	30m	60m	90m	120m
2	YAL002W	-0.40915	0.09155	-0.658725	0.176166667	0.255433333
6	YAL007C	0.7004	0.1331	-0.34465	1.000466667	0.591533333
14	YAL015C	-0.87635	-0.99235	-0.9291	-0.838025	-0.193566667
16	YAL017W	-0.293125	-0.0195	-0.453975	-0.242575	0.1661
18	YAL019W	-0.724075	-0.07365	-0.441525	-0.6748	-0.129825
24	YAL025C	2.7911	3.5577	2.841375	-1.934875	-0.733275
30	YAL031C	-0.893125	-0.388325	-0.483825	-0.5049	-0.3767
36	YAL035W	-0.97945	-0.52445	-0.7358	-0.956125	-1.182425
41	YAL040C	2.712575	1.499575	-0.27835	0.320233333	0.29475
46	YAL044C	-1.49025	-1.12865	-2.136025	-0.187275	0.867075
50	YAL048C	-1.2849	-0.84515	-0.3252	-0.354733333	-0.252733333
56	YAL056C-A	-2.3588	-1.464633333	-2.7051	-1.440275	-1.169766667
58	YAL058W	-0.63925	-0.51875	-1.4742	-0.710175	-0.740233333
59	YAL059W	2.550025	2.895766667	2.68665	-2.997175	-1.434566667
60	YAL060W	-1.6513	-1.6619	-2.232675	-0.01005	1.069533333
61	YAL061W	-0.985925	-1.025466667	-0.267475	0.539725	-0.0376
62	YAL062W	-0.7332	-0.60995	-1.147575	-0.196725	0.724266667
63	YAL063C	-1.385975	-1.157033333	-2.041025	-0.08655	1.754633333
68	YAL067C	-0.96835	-0.090725	-0.6837	-0.087325	-0.53285
76	YAR009C	-3.2738	-2.018375	-2.511725	-2.609225	-1.467525
88	YAR031W	-1.18185	-1.094525	-1.3607	-0.58475	-0.962875
99	YAR060C	-0.8479	-0.7733	-0.609025	-0.0348	-0.3967
103	YAR066W	-1.361566667	-1.46545	-0.780575	0.619125	0.466425
109	YAR074C	0.57345	1.14895	1.407875	-0.949175	-1.1674
110	YAR075W	0.2951	0.696175	0.6339	-1.37925	-1.462375
115	YBL005W	-1.017475	-0.48765	-0.83105	-2.6348	-2.286275
117	YBL005W-B	-1.63375	-0.4913	-1.185675	-1.539725	-0.993975
128	YBL016W	2.441225	1.3948	1.1851	-0.498075	0.98375
129	YBL017C	-0.1044	0.4496	0.218975	-1.0907	-1.171925
131	YBL019W	-0.8425	-0.5044	-0.917325	-0.7469	-1.0566
140	YBL028C	1.16335	1.799475	1.863766667	-0.6678	-0.740725
145	YBL033C	2.333933333	1.31785	-0.17505	-0.4205	0.4353
150	YBL038W	2.79495	2.8645	2.10845	0.396	1.246933333
152	YBL040C	-0.64495	-1.16975	-1.5969	-0.02535	0.156925
161	YBL049W	-1.043675	-0.462325	-0.646475	-0.24495	-0.322775
166	YBL054W	2.533125	1.54475	1.812375	-2.240525	-0.3427
167	YBL055C	-0.302025	0.09565	-0.201325	-1.31315	-0.88995
169	YBL057C	-1.0069	-0.3637	-0.54885	-0.1547	-0.198425
175	YBL063W	-0.94755	-0.2036	-0.431375	-0.2439	-0.44605
176	YBL064C	-0.281075	-0.467025	-0.608525	2.998375	1.332125
178	YBL066C	-1.752825	-1.047175	-1.108825	-0.70485	-0.334475
183	YBL071C	-2.6533	-1.736675	-3.224275	-1.3874	-1.7466
193	YBL081W	2.0046	1.4907	1.934025	-0.4161	-0.0977
196	YBL084C	-0.8542	-0.86305	-0.382875	-0.07085	0.349533333
198	YBL086C	-0.1393	0.1637	-1.36865	0.036625	0.577733333
203	YBL091C	-1.032266667	-0.50655	-0.856325	0.3985	-0.0014
205	YBL093C	1.8564	1.4821	1.260275	-0.94815	-0.257975
206	YBL094C	-2.41115	-2.06015	-1.84325	-1.031775	-0.1909
207	YBL095W	-2.615166667	-3.2206	-1.8031	-0.394375	-0.523175
208	YBL096C	-1.648875	-0.962125	-1.159375	-0.4814	-0.285775
209	YBL097W	-1.085225	-0.907025	-0.92375	-0.751675	-0.789025
210	YBL098W	-0.906075	-0.49705	-0.452075	-0.01655	0.4801
214	YBL101W-A	-2.5934	-0.78845	-1.13135	-1.4387	-0.9688
216	YBL102W	-1.12425	-1.09825	-0.58205	0.47995	-0.192725
