SPOT	Gene Symbol	15m	30m	60m	90m	120m
7	YAL008W	-1.02925	-0.7875	-0.706675	0.43415	1.37025
11	YAL012W	0.057475	0.291925	-0.288625	-2.5086	-1.8546
24	YAL025C	2.5684	2.7671	1.7096	-1.567475	-1.518
27	YAL028W	-0.4404	-0.8336	-0.792425	0.181725	-0.826866667
33	YAL034C	0.39605	0.933725	0.6427	0.240625	-0.113666667
41	YAL040C	3.629675	3.91115	0.480225	-0.624875	-0.2896
46	YAL044C	-1.533075	-1.40655	-1.5448	0.24445	3.9169
51	YAL049C	-1.0273	-1.17755	-1.983266667	0.0571	0.3791
53	YAL053W	0.323475	-0.23725	-0.850325	-0.45615	0.0021
56	YAL056C-A	-0.2846	-1.253	-1.304325	-1.422125	0.399
59	YAL059W	1.994325	2.61385	1.67045	-2.33815	-2.367533333
60	YAL060W	-1.485875	-1.8536	-2.46	-2.0241	2.2554
62	YAL062W	-0.3203	-0.20925	-0.712975	-0.37825	0.237466667
63	YAL063C	-1.160575	-1.188175	-1.00405	-0.602075	2.987
74	YAR007C	-0.0386	-1.023725	-0.6773	-0.450625	-0.714633333
79	YAR015W	-0.36725	-1.070975	-1.3753	-1.08845	1.8268
80	YAR018C	-0.47915	-0.587825	-0.339575	0.07445	0.086033333
84	YAR027W	-1.63245	-2.362375	-1.139975	0.4777	0.446733333
86	YAR029W	-0.26135	-0.554525	-0.41135	0.082425	-0.6355
88	YAR031W	-0.712775	-0.6639	-0.306475	-0.1239	-0.505633333
92	YAR040C	-0.258966667	-0.635425	-1.0557	-0.669025	-1.0394
108	YAR073W	-0.5626	-0.24865	-1.791475	-4.401575	-1.2364
109	YAR074C	-0.270725	-0.25075	-0.877575	-3.647925	-1.057833333
110	YAR075W	-0.3003	-0.40325	-0.9572	-3.731275	-1.058066667
117	YBL005W-B	-0.496325	-0.592525	-0.7337	-2.6429	-1.7716
122	YBL010C	-0.617625	-1.048225	-0.743125	0.283225	0.868775
128	YBL016W	1.90725	0.983575	0.58215	-1.180525	-0.0842
129	YBL017C	0.7946	1.3766	0.772275	-0.9261	-1.051966667
151	YBL039C	1.562825	1.80485	0.44175	-3.0669	-2.396766667
152	YBL040C	-0.948	-1.4228	-1.03465	0.0049	0.270033333
154	YBL042C	1.62295	1.233375	0.57215	-0.568075	0.1521
162	YBL050W	-0.6023	-0.475825	-0.3607	0.3444	0.153766667
166	YBL054W	2.584325	3.154825	1.641575	-1.373325	-1.021533333
169	YBL057C	0.432575	-0.822725	-0.691	-0.61335	-0.240833333
182	YBL070C	1.6406	0.657075	0.490375	-0.651175	-0.404366667
205	YBL093C	3.06755	2.923175	1.1185	-1.075875	-1.2361
206	YBL094C	-0.977225	-0.939925	-0.7596	-0.140725	-0.138666667
208	YBL096C	-0.334625	-0.676875	-0.81715	0.1557	-0.627266667
214	YBL101W-A	-1.91635	-2.0209	-2.617525	-2.38385	-3.576666667
224	YBL111C	-1.957925	-2.054975	-1.670025	0.095133333	0.994133333
226	YBL113C	0.07895	1.165025	0.568975	1.165666667	0.140866667
228	YBR002C	1.18885	2.181	1.119875	-0.398366667	-0.885533333
239	YBR012W-A	-3.206633333	-1.650033333	-2.629175	-2.690625	-4.0592
249	YBR021W	1.52455	0.6202	0.521675	-0.371175	1.1306
254	YBR026C	-0.904975	-1.319975	-1.238225	-0.077325	1.078233333
256	YBR028C	0.877675	1.3758	1.169875	0.3661	-0.181733333
257	YBR029C	1.165625	1.679725	1.4664	-0.74115	-0.2125
