SPOT	Gene Symbol	15m	30m	60m	90m	120m
6	YAL007C	-0.688475	-0.705675	-0.889675	-0.2557	1.807966667
7	YAL008W	-0.61165	-0.86605	-0.64615	1.010433333	1.5887
41	YAL040C	3.186975	2.9188	1.632	-0.345766667	-0.227066667
46	YAL044C	-1.610325	-2.298025	-2.82355	-0.425133333	1.710433333
51	YAL049C	-1.0077	-1.293475	-1.049925	0.332266667	1.1598
55	YAL055W	-0.88	-1.16115	-1.126975	0.313033333	0.954366667
56	YAL056C-A	-1.153725	-1.483525	-0.93855	-0.248266667	1.492
58	YAL058W	-0.4932	-0.472375	-0.7498	-0.7408	0.723533333
59	YAL059W	1.8784	2.626025	3.109575	-0.167866667	-0.778466667
60	YAL060W	-1.047275	-1.515025	-1.801675	0.763966667	1.8689
61	YAL061W	-2.110725	-2.59525	-1.33095	1.832133333	2.812266667
62	YAL062W	-0.481025	-0.5449	-0.5259	-0.190566667	1.346866667
63	YAL063C	-1.106525	-1.5634	-1.814025	-0.4274	1.5693
68	YAL067C	-0.2982	-0.679625	-0.431825	0.571333333	0.498533333
76	YAR009C	-1.26575	-0.999	-0.944575	-1.927966667	-1.206566667
77	YAR010C	-1.0019	-0.63515	-0.714575	-1.057533333	-0.937366667
107	YAR071W	-0.07605	0.2009	1.273575	0.3332	1.3788
111	YBL001C	-0.689	-0.80155	-1.182625	0.332666667	1.358966667
116	YBL005W-A	-1.1749	-1.2313	-1.275166667	-1.3069	-0.5738
122	YBL010C	-0.539425	-0.9177	-0.95455	-0.129733333	0.587633333
126	YBL014C	1.314475	1.383625	1.4864	-0.407933333	0.833866667
128	YBL016W	2.1201	1.545825	1.365975	0.3843	1.017833333
136	YBL024W	2.072966667	2.01945	1.729633333	-1.7628	-0.4951
140	YBL028C	1.847333333	1.912225	2.415366667	-1.1763	-0.030366667
141	YBL029W	1.849875	2.0154	2.434275	0.572	-0.302133333
143	YBL031W	-0.672125	-0.958533333	-1.078875	-0.772333333	0.573366667
145	YBL033C	1.65145	0.76045	-0.327475	-0.584433333	0.907433333
147	YBL035C	-0.5646	-0.91605	-0.7468	-0.571166667	0.795533333
148	YBL036C	-0.8181	-0.519225	-0.039725	-0.217833333	0.705833333
150	YBL038W	1.20185	1.041725	1.2434	0.1963	0.649533333
154	YBL042C	1.39455	0.31115	-0.3166	-0.835933333	2.139633333
155	YBL043W	1.309825	0.349125	-0.09165	0.655	1.072266667
173	YBL061C	0.7911	0.901875	0.74475	-0.145466667	0.067533333
176	YBL064C	-1.633725	-1.820025	-1.80445	1.468266667	2.3049
192	YBL080C	-0.377775	-0.38585	-0.7394	-0.298533333	0.7024
193	YBL081W	1.619725	1.6608	2.1506	-0.613433333	0.6227
199	YBL087C	-0.597175	-1.0255	-1.228675	0.513866667	-0.515833333
206	YBL094C	-1.245575	-1.642425	-1.2431	-0.456866667	0.979766667
208	YBL096C	-1.185775	-1.1254	-0.859075	-0.908833333	0.722166667
209	YBL097W	-0.51545	-0.717225	-0.5581	-0.242	-0.5512
210	YBL098W	-0.782	-0.993825	-0.812175	-0.337433333	0.441966667
214	YBL101W-A	-1.367	-1.344125	-1.041675	-0.7722	-0.608366667
216	YBL102W	-1.110825	-1.395575	-0.821	0.7124	1.235066667
224	YBL111C	-3.0756	-3.0254	-2.218475	-0.0691	0.3449
228	YBR002C	1.672825	1.451775	1.437075	-0.3127	-0.191433333
232	YBR006W	-1.008925	-1.2067	-0.6146	-0.5281	0.0014
246	YBR018C	-0.546075	-0.45205	-0.576175	-0.087033333	0.881733333
249	YBR021W	1.294575	0.84545	0.20205	-0.131466667	2.4726
250	YBR022W	-0.358825	-0.313725	-0.06725	0.399766667	1.648133333
254	YBR026C	-0.8752	-1.1521	-1.54455	1.13545	1.314766667
256	YBR028C	-0.005775	0.77705	1.404225	-0.4248	1.108366667
257	YBR029C	0.991025	1.614125	2.11375	-0.2222	0.619733333
258	YBR030W	1.363025	1.89765	2.08715	0.4446	0.423733333
259	YBR031W	-1.1732	-2.082625	-1.9168	-1.207233333	0.594866667
261	YBR033W	3.7618	3.757775	3.927775	0.557633333	-0.628133333
262	YBR034C	3.85095	3.851125	4.07715	0.827333333	-0.587466667
265	YBR037C	-1.61245	-2.2622	-1.4841	0.341633333	1.229566667
270	YBR042C	2.337475	2.2772	2.61665	0.3897	-0.2146
271	YBR043C	2.067325	1.89535	2.120175	0.508966667	-0.8416
274	YBR046C	-0.709325	-0.9014	-0.6143	0.642733333	1.051833333
278	YBR050C	1.720175	1.6078	1.02545	0.5136	-0.226133333
281	YBR053C	-0.8874	-1.14075	-2.4072	0.7155	0.5945
282	YBR054W	-1.652125	-2.3584	-1.721025	0.21475	0.107933333
289	YBR061C	0.79665	0.783	0.95855	-0.669133333	-0.242433333
292	YBR064W	-0.299525	0.33555	0.7795	-1.136933333	1.131733333
294	YBR066C	-0.6575	-0.02335	-0.005575	0.077933333	1.1814
295	YBR067C	0.530875	1.53405	2.001425	-0.530566667	-3.404666667
296	YBR068C	0.92365	0.97615	0.56275	-0.4122	0.696866667
297	YBR069C	1.6405	0.985425	0.427725	-1.147633333	0.026533333
298	YBR070C	-0.8489	-1.41735	-1.140925	0.183766667	1.214066667
299	YBR071W	-2.3182	-2.61715	-1.472875	0.266366667	0.870466667
300	YBR072W	-1.256275	-1.8206	-1.934575	0.989933333	2.2967
318	YBR089W	-0.1327	-1.04925	-1.34	0.571633333	1.891566667
321	YBR092C	0.1268	0.350525	0.6907	-0.311466667	-1.163633333
325	YBR096W	-1.0946	-1.7695	-2.2959	0.2967	0.920733333
332	YBR104W	1.381775	2.5115	2.623575	-1.55625	-1.10645
333	YBR105C	5.263375	3.412533333	1.82375	-0.823233333	-0.03975
339	YBR111C	-1.032325	-1.051825	-1.164825	0.514333333	2.063533333
364	YBR136W	0.347925	0.0233	0.1167	0.7067	0.661466667
370	YBR142W	0.861925	0.913275	1.14685	-0.387833333	0.236433333
374	YBR146W	0.79345	0.8371	1.106	-0.4564	0.0895
376	YBR148W	-0.31395	-1.010166667	-0.65195	1.32785	1.14675
383	YBR155W	1.6199	1.923075	2.0883	-0.7788	-0.335766667
387	YBR159W	-0.5741	-1.079975	-0.881475	-0.1462	0.8527
393	YBR164C	-0.1121	-0.07915	0.5032	0.537766667	1.816033333
397	YBR168W	-0.927425	-0.754875	-0.818775	-0.055133333	0.498966667
412	YBR183W	0.20575	-0.252775	-0.481825	1.386533333	1.649533333
436	YBR207W	1.283775	1.393525	1.228275	0.117166667	0.201633333
439	YBR210W	-0.22085	-0.197325	0.556925	0.3878	1.3826
440	YBR211C	0.972025	1.10365	0.975675	0.621166667	0.547966667
443	YBR214W	-0.6711	-0.92825	-0.881625	-0.470933333	1.431866667
446	YBR217W	0.098525	0.287575	0.74585	0.962566667	0.774966667
451	YBR222C	-0.654575	-1.045925	-0.567925	-0.168866667	1.574966667
465	YBR236C	-0.814525	-1.447675	-0.96485	-0.5705	0.265066667
467	YBR238C	0.970325	1.314825	1.363675	0.289266667	0.516833333
473	YBR244W	-1.384325	-1.655175	-1.617725	0.3866	0.355833333
475	YBR246W	0.556275	0.8199	0.99	0.2407	-0.2813
476	YBR247C	1.858325	1.989325	1.782325	-0.717633333	-0.898
480	YBR251W	0.72295	0.7929	0.78895	0.699866667	0.7543
487	YBR258C	0.8197	0.400775	0.7278	-0.1037	0.588166667
495	YBR266C	2.8553	2.183925	2.8585	-0.041966667	0.5445
499	YBR270C	0.29195	0.413075	0.68565	-0.3205	-1.75125
508	YBR279W	1.276775	1.1262	0.779475	0.138133333	0.130933333
514	YBR285W	1.147975	1.24365	1.8304	0.748833333	1.283433333
526	YBR297W	2.38105	2.939425	1.22565	0.472533333	0.1326
529	YBR300C	0.8661	0.87215	0.970825	0.033433333	1.1278
538	YCL008C	0.0528	0.17125	0.5261	0.005266667	1.8413
539	YCL009C	-0.520225	-0.77655	-0.470825	-0.176433333	-0.358766667
548	YCL020W	-0.84395	-1.06875	-0.59475	0.069233333	-0.2563
550	YCL022C	-2.175375	-2.95165	-2.206475	0.1594	1.345666667
555	YCL026C-A	1.432325	1.842225	2.543125	1.1489	0.8063
560	YCL031C	2.434625	2.31865	2.312875	0.539766667	-0.279933333
562	YCL033C	-1.249825	-1.7301	-1.661775	0.860166667	1.318533333
569	YCL040W	-0.5909	-2.064825	-1.38245	2.931633333	3.540066667
576	YCL047C	-0.97215	-1.2423	-1.4814	-0.662066667	0.303333333
582	YCL053C	1.842875	2.1389	2.829825	-1.163466667	0.551266667
583	YCL054W	2.023375	2.527525	2.2699	-0.1107	-0.296
587	YCL058C	1.8007	1.115025	1.45595	-0.357466667	0.1633
592	YCL064C	-0.27195	-0.134666667	-0.307	-2.1378	0.899866667
603	YCLX02C	2.82675	3.259	3.209575	-0.0819	-0.7229
609	YCLX09W	2.24055	1.8276	0.895075	-0.366366667	0.789866667
617	YCR005C	1.98375	0.801025	0.224675	0.335433333	0.475633333
620	YCR008W	0.880375	0.9919	0.91965	-1.2927	0.272966667
621	YCR009C	-1.007725	-1.0609	-1.2034	-0.289566667	1.574433333
625	YCR013C	-1.137475	-1.567625	-1.255175	0.270233333	2.3843
626	YCR014C	-0.6247	-0.94185	-1.04335	-0.373766667	0.7545
627	YCR015C	-0.32405	-0.0732	-0.129375	0.5122	1.7232
628	YCR016W	1.788625	2.058075	2.199025	-0.604133333	-0.495133333
629	YCR017C	-0.017375	-0.08755	0.433825	-0.367866667	1.545933333
631	YCR019W	-0.568425	-0.524425	-0.275575	-0.363133333	0.8898
636	YCR023C	-0.96075	-0.929475	-0.373775	-0.7514	0.8877
637	YCR024C	-0.6453	-0.464	-0.3153	0.016866667	0.496466667
641	YCR027C	0.724975	1.042525	1.431425	0.2273	0.885333333
669	YCR056W	2.423025	2.65725	2.470575	-1.573366667	0.649566667
670	YCR057C	0.990525	1.011275	1.060225	-0.789333333	0.1358
673	YCR061W	-1.356025	-1.564175	-1.23455	-0.011266667	1.611766667
679	YCR068W	-0.673175	-0.94275	-0.994025	-0.0467	0.169733333
