SPOT	Gene Symbol	15m	30m	60m	90m	120m
3	YAL003W	-0.074225	-0.1045	-1.05085	-0.6986	-0.95895
14	YAL015C	-0.317675	-0.392275	-0.93055	-0.8155	-0.14055
24	YAL025C	1.495225	2.265625	1.46515	-0.597775	-0.320475
31	YAL032C	0.273025	0.59475	0.165725	-0.16605	-0.034525
40	YAL039C	0.454125	0.691666667	0.662525	-0.15785	0.2783
46	YAL044C	-1.677925	-2.41255	-2.42105	-1.42485	0.397875
51	YAL049C	-0.5841	-0.860025	-1.175975	-0.473825	-0.434925
55	YAL055W	-0.796725	-0.929175	-0.812775	0.092225	-0.09195
59	YAL059W	1.2428	2.327025	1.2185	-0.66225	-0.7571
60	YAL060W	-0.24945	-0.9976	-1.111825	-0.232325	0.4001
61	YAL061W	-0.299175	-0.811525	-0.52025	-0.05065	-0.3478
63	YAL063C	-1.236775	-2.031025	-1.6784	-0.548925	0.538525
75	YAR008W	-0.7201	-0.832175	-1.545325	0.354075	-0.852575
85	YAR028W	-0.70345	-0.6849	-0.710225	-0.59035	-0.357425
88	YAR031W	-0.343425	-0.547	-0.580675	-0.9997	-0.69035
122	YBL010C	-1.31485	-2.0684	-2.58265	-0.36	-0.9414
131	YBL019W	-0.8097	-0.6597	-0.59275	-0.664875	-0.156
141	YBL029W	0.283966667	0.980325	0.8931	2.088933333	0.93785
143	YBL031W	-1.8243	-1.415025	-1.6247	-2.778166667	-1.12145
150	YBL038W	1.379875	2.017	0.706825	0.252675	-0.078225
152	YBL040C	-1.1463	-1.723625	-2.0262	-0.607975	-0.696
154	YBL042C	1.267	1.4269	0.34925	0.466125	-0.648125
164	YBL052C	-0.1892	0.0344	-0.559566667	-0.253233333	-0.496566667
167	YBL055C	0.991075	0.203325	0.813225	-0.683925	-0.9153
169	YBL057C	-0.52695	-0.5949	-0.592675	-0.099775	-0.17885
176	YBL064C	-1.08695	-1.1265	-2.04255	-1.112775	-0.726075
178	YBL066C	-0.53585	-1.20005	-1.3016	-0.87145	-1.36465
182	YBL070C	0.969675	1.235775	1.187125	0.59845	1.0835
205	YBL093C	1.0951	1.583625	0.722325	-0.407875	-0.179775
207	YBL095W	-0.698125	-0.8974	-1.25645	-0.165825	-0.108275
216	YBL102W	-0.7949	-0.971025	-1.10645	-0.145575	-0.508175
221	YBL107C	0.393075	0.973375	0.86525	0.193325	-0.0253
224	YBL111C	-1.138525	-3.048125	-1.798825	0.0407	-1.1708
241	YBR013C	-0.8531	-1.174125	-1.230175	-0.656175	-0.133775
245	YBR017C	0.99665	1.65555	1.044125	0.6261	-0.203125
251	YBR023C	0.18705	0.90845	0.373275	7.5E-05	0.75465
258	YBR030W	0.63665	1.420225	0.81485	-0.040025	-0.080725
261	YBR033W	2.894825	3.425825	2.2878	-0.28775	-0.635875
262	YBR034C	2.69415	2.424	2.252975	-0.270075	-1.00815
265	YBR037C	-0.70645	-0.75065	-0.98225	-0.271525	-0.397475
270	YBR042C	1.7145	2.01955	1.884875	-0.077875	0.16635
271	YBR043C	1.3348	2.0245	1.197	-0.375525	0.1005
275	YBR047W	-0.2931	-0.3274	-0.131775	0.001975	0.105425
277	YBR049C	0.17355	0.44715	0.546625	0.06095	0.538525
278	YBR050C	0.676625	0.9619	0.9978	0.16135	0.2051
295	YBR067C	1.46015	2.445625	1.649875	-1.023	-2.987425
298	YBR070C	-0.73345	-0.9559	-1.043225	0.144125	-0.42565
299	YBR071W	-1.802625	-2.3809	-0.788675	0.588325	-0.661275
308	YBR081C	0.292975	0.797575	0.5272	0.320133333	0.210025
309	YBR082C	-0.498575	-0.3978	-0.948866667	-0.4299	-0.144033333
310	YBR083W	0.06075	-1.84335	-2.176066667	-0.8275	-0.4771
325	YBR096W	-1.2617	-2.408925	-2.6484	-0.8636	-0.3279
326	YBR097W	0.503475	1.32525	1.037825	0.004775	0.433
334	YBR106W	-0.0498	-0.145775	-0.5588	-0.63315	-0.937725
337	YBR109C	-0.496575	-0.631225	-0.549475	-0.082775	-0.328
339	YBR111C	-0.722425	-0.688875	-1.051575	0.0055	-0.465475
369	YBR141C	0.321425	0.74755	0.32795	-0.917	-0.26395
376	YBR148W	-0.472	-0.3722	-0.297933333	0.0155	0.2772
379	YBR151W	-1.9245	-0.8433	-0.3174	-1.6058	-2.365433333
383	YBR155W	1.314575	1.6618	0.490625	-0.966	-1.035725
384	YBR156C	-0.1113	-0.8774	-0.354975	0.322775	0.113
397	YBR168W	-0.743975	-0.741275	-0.65365	-0.5188	-1.08195
401	YBR172C	0.585775	0.202575	-0.06845	-0.174675	-0.828075
406	YBR177C	-0.6253	-0.777875	-0.0688	0.26445	-0.177875
418	YBR189W	-0.9676	-0.879	-0.60935	-0.55235	-0.944125
426	YBR197C	-0.751925	-0.638	-0.497025	-0.18985	-0.21525
465	YBR236C	-0.302675	-0.835025	-0.402525	-0.442725	-0.447775
473	YBR244W	-1.006675	-1.309775	-1.150925	-0.575075	-0.41375
490	YBR261C	-0.839775	-0.598225	-0.7518	-0.40615	-0.4575
495	YBR266C	1.8847	1.791325	2.105675	-0.462975	-0.8944
496	YBR267W	0.540875	2.441325	1.3762	0.116925	0.05455
519	YBR290W	0.3318	0.9129	0.3172	-0.0524	-0.084675
