SPOT	Gene Symbol	15m	30m	60m	90m	120m
7	YAL008W	-0.51155	0.10675	-0.268025	1.327375	0.60785
11	YAL012W	-0.30175	-0.576975	-0.435725	-0.7927	-1.21005
12	YAL013W	1.1803	1.1092	0.9637	-0.881975	-0.387
24	YAL025C	2.5877	2.919825	2.74905	-1.533525	-1.3735
29	YAL030W	-0.6542	-0.643	-0.9498	0.7865	-0.1801
33	YAL034C	0.412675	0.792975	0.63005	0.333175	0.50485
37	YAL036C	0.6215	0.84375	0.73715	-0.864375	-0.6798
40	YAL039C	0.79535	0.910175	0.434375	0.148075	0.216233333
41	YAL040C	3.2424	3.074725	1.322225	0.172225	0.323025
46	YAL044C	-1.45895	-2.3903	-2.5959	-0.386025	1.42465
47	YAL045C	-0.735966667	-1.334125	-1.66725	-0.14	0.225033333
51	YAL049C	-0.6228	-0.8517	-0.98145	0.805925	0.257675
56	YAL056C-A	-1.1818	-1.095125	-1.519525	-0.261175	0.11035
59	YAL059W	2.271425	1.989375	3.893025	-1.5801	-0.75415
60	YAL060W	-0.801575	-1.2384	-1.9838	0.12745	1.149575
61	YAL061W	-0.612	-0.5013	-0.543775	1.361625	1.422625
62	YAL062W	-0.348875	-0.4767	-1.069125	-0.2862	0.62345
63	YAL063C	-1.06515	-1.154875	-1.9202	-0.158325	1.371175
68	YAL067C	-0.8787	-0.736425	-0.511825	-0.18725	-0.292525
79	YAR015W	0.219525	-0.523525	-1.534775	-0.649075	0.621325
84	YAR027W	-1.164275	-1.62065	-1.3787	0.8769	0.573833333
85	YAR028W	-0.838475	-0.984775	-1.4791	0.50835	0.669175
88	YAR031W	-0.4219	-0.7232	-0.4492	0.034075	-0.7849
89	YAR033W	-0.3025	-0.6867	-0.81995	0.594975	1.170325
107	YAR071W	0.057825	0.2971	1.327325	0.291225	0.6516
108	YAR073W	0.81315	1.085825	1.72355	-0.52775	-0.88135
109	YAR074C	0.703875	1.21685	1.476125	-0.28635	-1.2286
110	YAR075W	0.75895	0.6484	1.07805	-0.729525	-1.1388
113	YBL003C	-1.04515	0.54255	0.545966667	-0.3382	0.622266667
123	YBL011W	1.029275	1.60345	1.141825	0.0208	-0.2036
128	YBL016W	1.708525	1.038475	0.79965	-0.0394	-0.0645
129	YBL017C	0.339425	1.060625	1.091425	-0.553675	0.222075
140	YBL028C	1.177533333	1.4174	2.929775	-2.101833333	0.207975
145	YBL033C	2.006825	0.506875	-0.826025	-0.560625	-0.471225
150	YBL038W	1.928025	1.2281	1.467475	-0.37255	0.4371
151	YBL039C	2.16825	2.5282	1.829525	-2.267475	-0.55215
154	YBL042C	1.285625	0.636125	0.5632	-0.7519	1.243975
169	YBL057C	-0.40815	-0.893575	-0.54375	0.0391	0.11405
176	YBL064C	-1.1524	-1.50705	-2.170275	2.670375	1.35885
178	YBL066C	-0.831125	-0.6193	-0.827325	-0.6878	0.72375
180	YBL068W	0.5403	0.796375	1.09325	-0.721825	-0.9544
183	YBL071C	-1.063225	-1.450575	-1.094125	-1.08645	-0.962975
193	YBL081W	2.504575	2.6631	2.005025	0.025075	-0.774375
198	YBL086C	-0.52685	-1.05385	-0.9265	0.35555	0.137925
204	YBL092W	-1.1684	-0.577375	-1.03755	-0.6394	-0.102075
205	YBL093C	2.42805	2.30175	1.563575	-0.81315	-0.767475
207	YBL095W	0.30815	-0.05305	-0.374075	-0.902175	-0.613475
212	YBL100C	-0.3335	-0.244775	-0.19845	0.20935	1.3904
213	YBL101C	0.238525	0.518075	0.206125	0.34795	0.930975
216	YBL102W	-1.010475	-1.1867	-1.14285	0.56995	-0.3311
221	YBL107C	0.62005	0.6748	0.7346	0.432975	-0.383325
227	YBR001C	1.29045	1.050175	0.424375	-0.238575	-0.6499
229	YBR003W	1.347475	0.9621	0.491225	-0.11685	-0.257525
235	YBR009C	-0.451666667	-0.5484	-0.0952	-1.297875	0.463975
241	YBR013C	-1.0189	-1.360875	-1.129475	0.93185	0.4838
242	YBR014C	0.31135	-0.0721	-0.02865	1.49315	1.61355
