SPOT	Gene Symbol	15m	30m	60m	90m	120m
5	YAL005C	-1.34015	-1.00564	-1.5011	1.40955	-0.41224
8	YAL009W	0.95165	0.66026	0.67175	0.379075	-0.215275
24	YAL025C	2.9121	2.246	2.46865	-0.73388	-0.67448
33	YAL034C	0.653875	1.08842	0.902325	-0.2215	-0.14354
39	YAL038W	0.6936	0.46106	0.124425	1.47424	1.3716
40	YAL039C	1.158925	1.22942	1.54305	-0.5051	0.48504
46	YAL044C	-0.926125	-2.04742	-2.2301	1.064325	2.34306
56	YAL056C-A	-0.666025	-0.7846	-0.456725	-0.29044	-0.23916
59	YAL059W	2.158475	2.27324	2.814225	-1.55642	-0.50596
60	YAL060W	-0.87445	-0.9397	-1.63345	1.0266	1.66626
61	YAL061W	0.3249	-0.1796	-0.397475	2.14112	1.9295
63	YAL063C	-1.46105	-1.5028	-1.34925	0.71524	1.37506
69	YAL068C	0.334925	0.99474	1.8139	-0.11102	-0.64054
79	YAR015W	-0.2748	-0.93062	-1.688425	-0.9681	1.42482
107	YAR071W	0.44065	0.45246	0.18195	1.3436	4.22532
116	YBL005W-A	-0.92155	-1.64598	-1.103475	-0.87806	-2.03208
118	YBL006C	0.61855	-0.002475	0.986275	0.40204	1.14374
122	YBL010C	-0.5036	-1.22844	-1.253125	1.26522	-0.46616
123	YBL011W	1.041525	1.00008	1.77325	0.27792	-0.08672
128	YBL016W	1.81585	1.2	0.564	0.63048	0.59154
129	YBL017C	1.592875	0.74054	1.07775	0.4061	0.65434
131	YBL019W	-0.92815	-0.51864	-0.928	-0.97768	-1.24176
140	YBL028C	1.537475	1.07648	2.4125	-1.1968	-0.5809
146	YBL034C	-0.743775	-0.76076	-0.540975	-0.3376	-0.67786
147	YBL035C	-0.9219	-1.35636	-1.9148	0.8113	-0.20758
150	YBL038W	3.14865	1.8595	2.078625	0.03678	0.7727
152	YBL040C	-1.2712	-1.94598	-2.096	-0.05008	0.57582
158	YBL046W	0.90425	0.2268	0.142425	0.4644	-0.37384
163	YBL051C	-1.446375	-1.21834	-0.64135	-0.66994	-0.6066
166	YBL054W	1.700075	1.71356	2.13135	-1.68024	-0.57252
174	YBL062W	1.0974	1.71718	0.80015	0.60092	0.09818
176	YBL064C	-0.9358	-0.83442	-1.5814	1.02162	0.28954
177	YBL065W	0.9382	1.85552	2.30655	0.79118	0.71828
193	YBL081W	2.560325	2.58456	2.6773	-0.12844	0.1563
204	YBL092W	-0.96565	-0.863675	-0.739625	-0.179375	-0.20156
205	YBL093C	2.2513	1.95944	1.60835	-0.70368	-0.05404
207	YBL095W	-1.58125	-1.25784	-1.683575	-0.31456	0.53108
210	YBL098W	-0.602875	-0.67748	-0.7277	0.08824	0.93512
214	YBL101W-A	-1.468275	-1.85608	-2.661675	-2.17138	-2.34926
216	YBL102W	-1.186475	-0.98362	-0.56875	0.36412	0.10238
217	YBL103C	0.336525	0.68356	1.248825	-0.0028	0.10664
228	YBR002C	1.0831	1.19048	0.82695	-0.39834	-0.40222
229	YBR003W	1.0357	1.413	0.997375	0.2465	0.00336
237	YBR011C	0.42155	-0.51916	-0.905033333	0.9229	1.55908
238	YBR012C	-0.220475	-0.38566	0.114475	-2.27144	-2.21418
254	YBR026C	-0.601725	-0.6271	-1.5518	1.09852	-0.18764
255	YBR027C	0.645525	1.398	1.89785	-0.3651	0.70384
256	YBR028C	0.2218	0.83382	1.375325	0.05472	0.20428
