Location,FileName,Header,Strain,Timepoint,Flask,Dyeswap,MasterList
Top,Slide82_20060620_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t15-1,wt,15,1,1,1
Top,Slide55_20060420_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t30-0,wt,30,0,1,5
Top,Slide83_20060620_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t30-1,wt,30,1,1,6
Top,Slide56_20060420_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t60-0,wt,60,0,1,10
Top,Slide79_20060614_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t60-1,wt,60,1,1,11
Top,Slide57_20060420_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t90-0,wt,90,0,1,14
Top,Slide84_20060620_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t90-1,wt,90,1,1,15
Top,Slide58_20060420_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t120-0,wt,120,0,1,19
Top,Slide81_20060614_0635_Top_Nonnormalized_data.gpr,wt_LogFC_t120-1,wt,120,1,1,20
Bottom,Slide82_20060620_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t15-1,wt,15,1,1,1
Bottom,Slide55_20060420_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t30-0,wt,30,0,1,5
Bottom,Slide83_20060620_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t30-1,wt,30,1,1,6
Bottom,Slide56_20060420_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t60-0,wt,60,0,1,10
Bottom,Slide79_20060614_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t60-1,wt,60,1,1,11
Bottom,Slide57_20060420_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t90-0,wt,90,0,1,14
Bottom,Slide84_20060620_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t90-1,wt,90,1,1,15
Bottom,Slide58_20060420_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t120-0,wt,120,0,1,19
Bottom,Slide81_20060614_0635_Bottom_Nonnormalized_data.gpr,wt_LogFC_t120-1,wt,120,1,1,20
